Dataset,d (qubits),Kernel,Feature map,Depth,Entanglement,Centered?,Delta test acc,Delta offdiag p50,Delta offdiag p95,Delta eff rank,CI95 Delta test acc,CI95 Delta offdiag p50,CI95 Delta offdiag p95,CI95 Delta eff rank,Baseline test acc,Baseline offdiag p50,Baseline eff rank
exam_score_prediction,16,local,zz_qiskit,1,linear,False,-0.0008333333333333526,0.24810976622777747,0.318850724005464,-1736.6459440578572,,,,,0.5541666666666667,1.41028047582843e-06,1999.230430137447
exam_score_prediction,18,local,zz_qiskit,1,linear,False,0.0,0.24838744452085,0.31362263370840116,-1722.733813748089,,,,,0.5533333333333333,2.632343601788013e-07,1999.612821233148
exam_score_prediction,20,local,zz_qiskit,1,linear,False,0.0,0.24858282393282752,0.30938956489906994,-1710.945417938787,,,,,0.5533333333333333,4.91954633624111e-08,1999.938736556511
exam_score_prediction,4,multiscale,zz_qiskit,1,linear,False,0.0,0.1288399699149862,0.1466603997051275,-68.13643191123569,,,,,0.5533333333333333,0.03478792477956925,142.7834637613031
exam_score_prediction,6,multiscale,zz_qiskit,1,linear,False,0.0,0.1462923266200136,0.1982342873459836,-779.6035570624072,,,,,0.5533333333333333,0.006409263945954803,1120.2612029046759
exam_score_prediction,8,multiscale,zz_qiskit,1,linear,False,-0.007500000000000062,0.150431252542259,0.20979658384489466,-1309.5533246180862,,,,,0.5533333333333333,0.00118068943550813,1855.7727522757662
exam_score_prediction,10,multiscale,zz_qiskit,1,linear,False,-0.005833333333333357,0.15228492245400224,0.20864771509472227,-1359.1729600034932,,,,,0.5583333333333333,0.00021898440242432856,1980.5308571848875
exam_score_prediction,12,multiscale,zz_qiskit,1,linear,False,-0.0024999999999999467,0.1532226354593673,0.20511583038240494,-1340.1508035122254,,,,,0.5558333333333333,4.069445958201884e-05,1995.3539679886183
exam_score_prediction,14,multiscale,zz_qiskit,1,linear,False,-0.0016666666666667052,0.15444477082692518,0.20151286615181654,-1318.8716043837696,,,,,0.555,7.572424042808071e-06,1998.4290232572941
exam_score_prediction,16,multiscale,zz_qiskit,1,linear,False,-0.0008333333333333526,0.15521549468252444,0.19844862466858482,-1301.776556436676,,,,,0.5541666666666667,1.41028047582843e-06,1999.230430137447
exam_score_prediction,18,multiscale,zz_qiskit,1,linear,False,0.0,0.15588560833773327,0.19594302942084724,-1287.451488689172,,,,,0.5533333333333333,2.632343601788013e-07,1999.612821233148
exam_score_prediction,20,multiscale,zz_qiskit,1,linear,False,0.0,0.15633157297167427,0.1938207675204263,-1275.2700279180158,,,,,0.5533333333333333,4.91954633624111e-08,1999.938736556511
heart_disease,4,local,zz_qiskit,1,linear,False,0.0,0.20591221317989852,0.22579423041928956,-70.86638015302653,,,,,0.5416666666666666,0.035105050853527546,137.97809650410264
heart_disease,6,local,zz_qiskit,1,linear,False,0.0,0.23761404287134685,0.3270330112655953,-576.3090932760098,,,,,0.5416666666666666,0.0064598674823661065,680.4374143108797
heart_disease,8,local,zz_qiskit,1,linear,False,0.021739130434782594,0.24456403491212558,0.34512213022608856,-754.5567067648681,,,,,0.5253623188405797,0.0011910375912237653,884.0750273876379
heart_disease,10,local,zz_qiskit,1,linear,False,0.0,0.2464576373878716,0.33973690643166526,-764.7330861926094,,,,,0.5398550724637681,0.00022138135807536318,913.3638476271825
heart_disease,12,local,zz_qiskit,1,linear,False,-0.007246376811594013,0.24724395903274793,0.3322506795901421,-754.4373857359228,,,,,0.5434782608695651,4.115324702472868e-05,916.306729030046
heart_disease,14,local,zz_qiskit,1,linear,False,0.09782608695652162,0.25380319879467583,0.34775185302938927,-744.1773632803238,,,,,0.5978260869565218,1.2107253558156064e-06,914.8278361612797
heart_disease,16,local,zz_qiskit,1,linear,False,0.07971014492753636,0.2520529561745791,0.3373204503278371,-739.1423347415268,,,,,0.5416666666666666,2.1196824475192146e-07,916.5418177563055
heart_disease,18,local,zz_qiskit,1,linear,False,0.08695652173913049,0.2531482080611282,0.3343263862100122,-735.6432630455533,,,,,0.5416666666666666,2.8669656966830608e-08,917.0948335637335
heart_disease,20,local,zz_qiskit,1,linear,False,0.10507246376811596,0.25211446917604563,0.3219057525188057,-721.3585316713941,,,,,0.5416666666666666,4.774011586205531e-09,917.0951946914448
heart_disease,4,multiscale,zz_qiskit,1,linear,False,0.0,0.12950031788780003,0.14643667844568506,-64.89759689264419,,,,,0.5416666666666666,0.035105050853527546,137.97809650410264
heart_disease,6,multiscale,zz_qiskit,1,linear,False,0.0,0.14594939487274183,0.19776495631985316,-432.3443041134849,,,,,0.5416666666666666,0.0064598674823661065,680.4374143108797
heart_disease,8,multiscale,zz_qiskit,1,linear,False,0.0126811594202898,0.15040237068116297,0.20953063568758593,-548.2711046825052,,,,,0.5253623188405797,0.0011910375912237653,884.0750273876379
heart_disease,10,multiscale,zz_qiskit,1,linear,False,-0.0036231884057970065,0.15246379331173462,0.20821933125240988,-544.6212204195415,,,,,0.5398550724637681,0.00022138135807536318,913.3638476271825
heart_disease,12,multiscale,zz_qiskit,1,linear,False,-0.005434782608695565,0.1535676225934587,0.2048228258638249,-532.35837596909,,,,,0.5434782608695651,4.115324702472868e-05,916.306729030046
heart_disease,14,multiscale,zz_qiskit,1,linear,False,0.09239130434782594,0.16428455921635673,0.22398490565505755,-549.11238252321,,,,,0.5978260869565218,1.2107253558156064e-06,914.8278361612797
heart_disease,16,multiscale,zz_qiskit,1,linear,False,0.09963768115942029,0.16230168872569609,0.21593979193754434,-538.8080033931935,,,,,0.5416666666666666,2.1196824475192146e-07,916.5418177563055
